code,mnemonic,result_is_byte,into,operand1,operand2,condition,bytes,flag_z,flag_n,flag_h,flag_c,cycles_ok,cycles_no
0x0,NOP,,,,,,1,,,,,4,
0x1,LD,,BC,d16,,,3,,,,,12,
0x2,LD,1,(BC),A,,,1,,,,,8,
0x3,INC,,BC,BC,1,,1,,,,,8,
0x4,INC,1,B,B,1,,1,Z,0,H,,4,
0x5,DEC,1,B,B,1,,1,Z,1,H,,4,
0x6,LD,1,B,d8,,,2,,,,,8,
0x7,RLCA,1,A,A,,,1,0,0,0,C,4,
0x8,LD,,(a16),SP,,,3,,,,,20,
0x9,ADD,,HL,HL,BC,,1,,0,H,C,8,
0xa,LD,1,A,(BC),,,1,,,,,8,
0xb,DEC,,BC,BC,1,,1,,,,,8,
0xc,INC,1,C,C,1,,1,Z,0,H,,4,
0xd,DEC,1,C,C,1,,1,Z,1,H,,4,
0xe,LD,1,C,d8,,,2,,,,,8,
0xf,RRCA,1,A,A,,,1,0,0,0,C,4,
0x10,STOP,,,,,,2,,,,,4,
0x11,LD,,DE,d16,,,3,,,,,12,
0x12,LD,1,(DE),A,,,1,,,,,8,
0x13,INC,,DE,DE,1,,1,,,,,8,
0x14,INC,1,D,D,1,,1,Z,0,H,,4,
0x15,DEC,1,D,D,1,,1,Z,1,H,,4,
0x16,LD,1,D,d8,,,2,,,,,8,
0x17,RLA,1,A,A,,,1,0,0,0,C,4,
0x18,JR,,PC,PC,d8,,2,,,,,12,
0x19,ADD,,HL,HL,DE,,1,,0,H,C,8,
0x1a,LD,1,A,(DE),,,1,,,,,8,
0x1b,DEC,,DE,DE,1,,1,,,,,8,
0x1c,INC,1,E,E,1,,1,Z,0,H,,4,
0x1d,DEC,1,E,E,1,,1,Z,1,H,,4,
0x1e,LD,1,E,d8,,,2,,,,,8,
0x1f,RRA,1,A,A,,,1,0,0,0,C,4,
0x20,JR,,PC,PC,d8,NZ,2,,,,,12,8
0x21,LD,,HL,d16,,,3,,,,,12,
0x22,LDI,1,(HL),A,,,1,,,,,8,
0x23,INC,,HL,HL,1,,1,,,,,8,
0x24,INC,1,H,H,1,,1,Z,0,H,,4,
0x25,DEC,1,H,H,1,,1,Z,1,H,,4,
0x26,LD,1,H,d8,,,2,,,,,8,
0x27,DAA,1,A,A,,,1,Z,,0,C,4,
0x28,JR,,PC,PC,d8,Z,2,,,,,12,8
0x29,ADD,,HL,HL,HL,,1,,0,H,C,8,
0x2a,LDI,1,A,(HL),,,1,,,,,8,
0x2b,DEC,,HL,HL,1,,1,,,,,8,
0x2c,INC,1,L,L,1,,1,Z,0,H,,4,
0x2d,DEC,1,L,L,1,,1,Z,1,H,,4,
0x2e,LD,1,L,d8,,,2,,,,,8,
0x2f,CPL,1,A,A,,,1,,1,1,,4,
0x30,JR,,PC,PC,d8,NC,2,,,,,12,8
0x31,LD,,SP,d16,,,3,,,,,12,
0x32,LDD,1,(HL),A,,,1,,,,,8,
0x33,INC,,SP,SP,1,,1,,,,,8,
0x34,INC,1,(HL),(HL),1,,1,Z,0,H,,12,
0x35,DEC,1,(HL),(HL),1,,1,Z,1,H,,12,
0x36,LD,1,(HL),d8,,,2,,,,,12,
0x37,SCF,,,,,,1,,0,0,1,4,
0x38,JR,,PC,PC,d8,CA,2,,,,,12,8
0x39,ADD,,HL,HL,SP,,1,,0,H,C,8,
0x3a,LDD,1,A,(HL),,,1,,,,,8,
0x3b,DEC,,SP,SP,1,,1,,,,,8,
0x3c,INC,1,A,A,1,,1,Z,0,H,,4,
